,elephant,dolphin,panda,lion,kangaroo,penguin,giraffe,chimpanzee,koala,orangutan
043,-0.75,-1.5,-5.5,-7.0,-5.5,-3.25,-2.5,-7.75,-6.0,-7.75
044,-1.25,-1.75,-4.5,-7.5,-5.5,-2.5,-1.25,-8.5,-5.25,-8.25
045,-1.0,-1.75,-5.5,-6.75,-6.5,-3.0,-2.0,-7.75,-6.5,-8.25
046,-1.25,-1.75,-4.75,-8.0,-4.75,-2.25,-1.75,-7.5,-4.25,-7.75
047,-1.5,-1.5,-5.0,-5.75,-6.25,-3.5,-1.25,-7.5,-6.5,-9.0
048,-0.75,-2.5,-6.5,-7.75,-7.5,-4.5,-3.5,-8.25,-7.0,-8.5
049,-1.0,-2.5,-4.0,-6.5,-5.25,-2.75,-1.0,-7.5,-4.75,-8.25
050,-1.5,-2.5,-5.25,-6.25,-6.75,-3.25,-2.0,-6.25,-6.0,-8.5
051,-1.25,-1.75,-4.25,-6.75,-5.25,-2.5,-2.5,-6.25,-5.5,-8.25
052,-1.5,-1.5,-4.75,-6.5,-5.25,-2.25,-2.0,-6.5,-5.5,-8.25
053,-1.25,-1.5,-4.5,-6.25,-5.0,-2.0,-2.0,-6.0,-6.0,-7.75
054,-1.75,-1.5,-4.25,-6.5,-6.25,-1.75,-2.0,-7.25,-6.0,-7.75
055,-1.75,-1.5,-3.75,-5.0,-6.25,-2.25,-1.5,-6.75,-7.0,-8.0
056,-1.25,-1.5,-5.0,-7.25,-5.25,-2.5,-2.0,-6.25,-5.5,-8.25
057,-1.5,-1.25,-5.25,-5.25,-6.0,-3.25,-1.5,-6.5,-6.75,-8.5
058,-1.0,-2.75,-6.0,-7.0,-6.5,-3.75,-2.75,-7.25,-6.75,-8.25
059,-1.25,-2.0,-4.75,-6.0,-5.75,-3.0,-1.5,-6.25,-6.25,-8.0
060,-0.75,-2.25,-5.5,-7.75,-5.75,-3.0,-3.0,-6.25,-5.25,-7.75
061,-0.75,-1.5,-5.0,-7.75,-4.75,-2.75,-3.0,-6.75,-5.0,-7.75
062,-1.0,-1.25,-4.75,-8.0,-4.25,-2.75,-3.0,-7.0,-4.5,-7.75
063,-0.75,-1.5,-5.25,-8.0,-4.75,-3.25,-3.75,-7.0,-6.0,-8.25
064,-1.0,-1.5,-5.5,-8.0,-5.75,-3.25,-3.25,-7.5,-5.5,-8.5
065,-1.0,-1.75,-5.0,-7.5,-5.25,-2.75,-2.25,-6.5,-5.0,-8.0
066,-1.25,-1.75,-4.75,-8.5,-4.0,-2.5,-2.5,-6.25,-4.5,-7.75
067,-1.25,-1.25,-5.25,-7.0,-5.25,-3.5,-2.5,-6.5,-5.5,-9.0
068,-0.75,-2.0,-5.75,-8.0,-5.75,-3.75,-3.5,-7.5,-5.75,-8.0
069,-1.0,-2.0,-5.25,-7.0,-5.25,-4.0,-1.75,-6.5,-5.0,-7.75
070,-1.25,-1.5,-6.25,-4.5,-7.5,-5.0,-2.0,-7.0,-7.5,-9.5
071,-1.25,-1.0,-6.25,-5.5,-6.75,-4.75,-2.25,-7.5,-7.5,-9.5
072,-1.0,-0.75,-6.0,-6.0,-5.75,-4.25,-2.75,-7.75,-6.25,-8.75
073,-1.25,-1.25,-5.75,-5.25,-5.75,-4.25,-2.5,-7.25,-7.25,-9.0
074,-1.25,-1.0,-5.25,-5.0,-6.25,-3.75,-2.0,-8.0,-6.5,-8.75
